conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.79E+18,Fri May 24 23:31:37 +0000 2024,19,IKN Nusantara sebagai ibu kota baru Indonesia dibangun dengan sistem yang terstruktur modern dan ramah lingkungan melibatkan berbagai teknologi modern dan digital serta ide ide kreatif yang menunjang sistem pemerintahan kedepannya. ___ Ariel Tatum Barca Hujan Legolas https://t.co/Lwwiod6sBD,1.79E+18,https://pbs.twimg.com/media/GOYZQxeawAAut7t.jpg,,in,Indonesia,1,5,18,https://x.com/Saodah1234/status/1794149284017054081,1.27E+18,Saodah1234
1.79E+18,Fri May 24 23:09:00 +0000 2024,16,Pembangun bandara VVIP Ibu Kota Nusantara (IKN) beserta fasilitas pendukungnya terus dibangun. Bandara ini tentunya akan memberikan kontribusi positif bagi pertumbuhan ekonomi dan pembangunan di Kalimantan Timur. Ariel Tatum Barca Hujan Legolas KAlO CANTIK Legolas Dinda Garut https://t.co/pRKjYy6nPd,1.79E+18,https://pbs.twimg.com/media/GOYUFSCaQAEGn4V.jpg,,in,"East Java, Indonesia",2,4,14,https://x.com/Hansunriko/status/1794143591142752719,1.35E+18,Hansunriko
1.79E+18,Fri May 24 23:06:32 +0000 2024,16,Kurator Pembangunan Ibu Kota Nusantara (IKN) sekaligus mantan Gubernur Jawa Barat Ridwan Kamil (RK) menegaskan IKN tidak dibangun secara sembarangan karena akan menjadi perhatian dunia. __ Ariel Tatum Barca Hujan Legolas KAlO CANTIK Legolas Dinda Garut https://t.co/Pth053WasH,1.79E+18,https://pbs.twimg.com/media/GOYThYZaYAAaaD9.jpg,,in,"East Java, Indonesia",2,3,13,https://x.com/Hansunriko/status/1794142972394758210,1.35E+18,Hansunriko
1.79E+18,Fri May 24 23:02:13 +0000 2024,3,Karian-Serpong dan nota kesepahaman mengenai Net-Zero Water Supply Infrastructure Project di Ibu Kota Nusantara (IKN). Nota kesepahaman itu ditandatangani usai High Level Panel (HLP1) World Water Forum ke-10 di Nusantara di BNDCC Nusa Dua Kuta Selatan Selasa (21/5).,1.79E+18,,Nidyna10,in,,0,0,2,https://x.com/Nidyna10/status/1794141884958539822,1.71E+18,Nidyna10
1.79E+18,Fri May 24 23:01:03 +0000 2024,18,Badan Bank Tanah akan memperluas lahan proyek pembangunan Bandara VVIP di Ibu Kota Nusantara (IKN) Kalimantan Timur. Lahan diperluas hampir dua kali lipatnya dari sebelummya 347 hektare (ha) menjadi 621 ha. Ariel Tatum Barca Hujan Legolas KAlO CANTIK Legolas Dinda Garut https://t.co/Eq3qH682U3,1.79E+18,https://pbs.twimg.com/media/GOYSRO3aYAAgK5F.jpg,,in,,0,5,17,https://x.com/Nidyna10/status/1794141592829476982,1.71E+18,Nidyna10
1.79E+18,Fri May 24 15:40:11 +0000 2024,1,https://t.co/9IrBUDmOZN #Repost Wakil Menteri Agraria dan Tata Ruang/Wakil Kepala Badan Pertanahan Nasional (Wamen ATR/Waka BPN) Raja Juli Antoni memimpin rapat pembahasan Pengadaan Tanah di Ibu Kota Nusantara (IKN).,1.79E+18,,,in,,0,0,0,https://x.com/kabberau/status/1794030645259477085,1.24E+18,kabberau
1.79E+18,Fri May 24 15:30:16 +0000 2024,0,Harapan masyarakat kalimantan timur untuk Ibu Kota Nusantara Ariel Tatum Keramas Pegi Hujan Kost 2 Malam Pencabut Nyawa Magelang Imran Khan https://t.co/nN0Lc4DNwZ,1.79E+18,https://pbs.twimg.com/ext_tw_video_thumb/1794028037421584384/pu/img/4DUHOWHKyX1qw0Lb.jpg,,in,,0,0,1,https://x.com/AmbarKusumawa07/status/1794028146532188599,1.60E+18,AmbarKusumawa07
1.79E+18,Fri May 24 15:06:56 +0000 2024,0,Masyarakat Kota Balikpapan patut berbangga. Selain menjadi penyangga Ibu Kota Nusantara (IKN) Balikpapan juga dinobatkan sebagai kota terbersih dari enam kota di Indonesia yang masuk nominasi Adipura Kencana untuk tahun 2023. #balikpapan #kebersihan #IKN https://t.co/3rmGaRLYgL,1.79E+18,,,in,,0,0,0,https://x.com/heralddotID/status/1794022277157412891,1.70E+18,heralddotID
1.79E+18,Fri May 24 14:45:13 +0000 2024,1,#Repost @kementerian.atrbpn Wakil Menteri Agraria dan Tata Ruang/Wakil Kepala Badan Pertanahan Nasional (Wamen ATR/Waka BPN) Raja Juli Antoni memimpin rapat pembahasan Pengadaan Tanah di Ibu Kota Nusantara (IKN). https://t.co/koPKEQiTFh,1.79E+18,https://pbs.twimg.com/media/GOWgx8ObMAAX3Wm.jpg,,in,,0,0,0,https://x.com/kantahkabtdatar/status/1794016812398674374,4446262221,kantahkabtdatar
1.79E+18,Fri May 24 13:43:43 +0000 2024,0,Otorita Ibu Kota Nusantara Sosialisasi Pentingnya Komunikasi Linta https://t.co/zPeiFWSAx0,1.79E+18,https://pbs.twimg.com/media/GOWSqgubMAAr4GX.jpg,,in,,0,0,0,https://x.com/ruiten1980/status/1794001333441442114,1.78E+18,ruiten1980
